i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
22,9846,5785,5785,1,766.1196762310124
39,9909,119526,200,0.001673274998843728,700.685195495715
13,8634,15874,85376,5.378239999999998,745.4053715398765
13,8634,2952,85376,28.925465497599983,679.5404562049576
7,8352,392,549,1.4,233.23833111708848
22,9846,8099,52,0.006428053235558064,57.16224856048268
22,9846,85376,143,0.001673274998843728,150.8370901853401
39,9909,15874,549,0.03457161303360779,725.0228937353332
22,9846,8099,8099,1,797.6790249528782
13,8634,22224,119526,5.378239999999998,754.1918521344564
13,8634,4132,119526,28.925465497599983,703.9215404879159
7,8352,549,768,1.4,287.4212053247904
22,9846,11339,73,0.006428053235558064,79.61954236292877
22,9846,119526,200,0.001673274998843728,198.46238202649695
39,9909,22224,768,0.03457161303360779,768.2281993309783
22,9846,11339,11339,1,821.4944681486769
26,7122,200,280,1.4,114.71170978826363
7,8352,768,1076,1.4,344.2570831706341
26,7122,280,392,1.4,142.91903370393067
22,9846,15874,102,0.006428053235558064,109.09963811353988
7,8352,1076,1506,1.4,401.4760923512841
39,9909,31114,1076,0.03457161303360779,801.148317359846
22,9846,15874,15874,1,839.1951380563532
26,7122,392,549,1.4,174.56668085577556
7,8352,1506,2108,1.4,457.4288038483287
26,7122,549,768,1.4,209.51223150590755
22,9846,22224,143,0.006428053235558064,147.05369176489484
22,9846,22224,22224,1,852.2058854139589
39,9909,43559,1506,0.03457161303360779,825.7866164029432
26,7122,768,1076,1.4,248.07967078713412
7,8352,2108,2952,1.4,510.55720339490847
22,9846,31114,200,0.006428053235558064,194.86470045265673
26,7122,1076,1506,1.4,290.9262513355753
22,9846,31114,31114,1,861.6926586703458
39,9909,60983,2108,0.03457161303360779,843.9874558558706
7,8352,2952,4132,1.4,559.1030024069137
26,7122,1506,2108,1.4,337.9245093610844
22,9846,43559,280,0.006428053235558064,253.40982251200606
7,8352,4132,5785,1.4,601.5216660675882
26,7122,2108,2952,1.4,387.1148257298955
22,9846,43559,43559,1,868.5698202670839
39,9909,85376,2952,0.03457161303360779,857.3061862606074
26,7122,2952,4132,1.4,435.18576415044936
7,8352,5785,8099,1.4,636.9945242544973
22,9846,60983,392,0.006428053235558064,322.26894192268685
22,9846,200,1076,5.378239999999998,454.8168832363847
22,9846,60983,60983,1,873.5343873742233
26,7122,4132,5785,1.4,478.96494091479053
39,9909,119526,4132,0.03457161303360779,866.9860158567004
7,8352,8099,11339,1.4,665.5481732029272
26,7122,5785,8099,1.4,516.4786223360322
22,9846,85376,549,0.006428053235558064,398.9121150552703
22,9846,280,1506,5.378239999999998,533.9278802862527
22,9846,85376,85376,1,877.1075031451136
7,8352,11339,15874,1.4,687.8359410390286
26,7122,8099,11339,1.4,547.109299029284
22,9846,119526,768,0.006428053235558064,478.675803816476
26,7122,11339,15874,1.4,571.2227622410999
7,8352,15874,22224,1.4,704.8253294150611
22,9846,392,2108,5.378239999999998,606.1036611293595
22,9846,119526,119526,1,879.673616011719
26,7122,15874,22224,1.4,589.6999473549378
7,8352,22224,31114,1.4,717.5477900699188
26,7122,22224,31114,1.4,603.5821026899525
22,9846,549,2952,5.378239999999998,668.4580124617969
7,8352,31114,43559,1.4,726.9509561627833
26,7122,31114,43559,1.4,613.8642571429585
26,7122,43559,60983,1.4,621.4021105358266
22,9846,768,4132,5.378239999999998,720.0630949322828
7,8352,43559,60983,1.4,733.8347131173805
26,7122,60983,85376,1.4,626.8874538433723
7,8352,60983,85376,1.4,738.8393041820035
22,9846,1076,5785,5.378239999999998,761.3549148399293
26,7122,85376,119526,1.4,630.8580848938718
7,8352,85376,119526,1.4,742.4595785490951
22,9846,1506,8099,5.378239999999998,793.5236409920917
22,9846,2108,11339,5.378239999999998,818.0605960835799
22,9846,2952,15874,5.378239999999998,836.4689558156466
22,9846,4132,22224,5.378239999999998,850.1042693664788
19,5916,200,280,1.4,108.37824377529057
19,5916,280,392,1.4,138.22005124605568
19,5916,392,549,1.4,173.37467901637422
22,9846,5785,31114,5.378239999999998,860.1068216377763
19,5916,549,768,1.4,213.26180478185537
1,6448,200,280,1.4,93.56600515622225
19,5916,768,1076,1.4,256.40779580389585
1,6448,280,392,1.4,117.077299661277
19,5916,1076,1506,1.4,300.5840748073591
22,9846,8099,43559,5.378239999999998,867.3915618181724
