i,matrix_alpha,habitat_alpha,ratio,eca
39,977,34694,35.52713678800501,706.5195187626961
39,5821,5821,1,693.1432214676963
39,1526,9095,5.9604644775390625,649.9758662711009
32,11369,403897,35.52713678800501,890.5763026110131
26,977,1221,1.25,266.58486017903084
39,781,11369,14.551915228366852,612.5088145525918
26,1221,1526,1.25,296.6133338347634
39,1907,165436,86.73617379884035,800.4157842807809
39,1221,43368,35.52713678800501,736.8067030708603
39,1907,11369,5.9604644775390625,688.6548713495209
39,7276,7276,1,726.9502503650175
1,400,500,1.25,138.6882955866792
26,1526,1907,1.25,328.473719772208
1,500,625,1.25,160.15674316321994
26,1907,2384,1.25,361.4997577370843
39,977,14211,14.551915228366852,653.9747371168447
39,2384,206795,86.73617379884035,816.9523574331588
39,1526,54210,35.52713678800501,763.1287416530764
1,625,781,1.25,184.3986287051508
39,2384,14211,5.9604644775390625,722.6094788202557
39,9095,9095,1,755.9195440055221
26,400,105879,264.6977960169689,402.5235170875507
26,2384,2980,1.25,394.71857250514256
1,781,977,1.25,211.4620448861748
26,500,132349,264.6977960169689,415.62046676024306
26,2980,3725,1.25,427.0627553058344
45,400,500,1.25,113.79392170681693
1,977,1221,1.25,241.13030374922607
39,1221,17764,14.551915228366852,691.3465525152343
39,2980,258494,86.73617379884035,830.7620145504219
39,1907,67763,35.52713678800501,785.6753917301475
45,500,625,1.25,132.6607067042351
39,2980,17764,5.9604644775390625,751.9111554166162
26,625,165436,264.6977960169689,431.0591404902624
26,3725,4657,1.25,457.580033730175
39,11369,11369,1,780.4218268749628
1,1221,1526,1.25,272.8447952897849
45,625,781,1.25,154.2913096232599
26,781,206795,264.6977960169689,448.6102659756339
26,4657,5821,1.25,485.565631831548
1,1526,1907,1.25,305.72325004469394
45,781,977,1.25,178.63212934837156
39,1526,22204,14.551915228366852,724.3434542922336
39,3725,323117,86.73617379884035,842.2027438520812
39,2384,84703,35.52713678800501,804.7524887873079
39,3725,22204,5.9604644775390625,776.8406653162701
26,977,258494,264.6977960169689,467.6501696886933
45,977,1221,1.25,205.3345384544041
1,1907,2384,1.25,338.69045975946307
26,5821,7276,1.25,510.60379792079004
39,14211,14211,1,800.9256085446181
45,1221,1526,1.25,233.75775271864626
1,2384,2980,1.25,370.6663799992017
26,1221,323117,264.6977960169689,487.35643322102055
26,7276,9095,1.25,532.5427927796197
45,1526,1907,1.25,263.0423581487427
1,2980,3725,1.25,400.73321785725716
39,1907,27756,14.551915228366852,752.9712927621107
39,4657,403897,86.73617379884035,851.6186175735409
26,1526,403897,264.6977960169689,506.897600511876
39,2980,105879,35.52713678800501,820.7287482055395
39,4657,27756,5.9604644775390625,797.803506438167
45,1907,2384,1.25,292.23481363662887
26,9095,11369,1.25,551.4363906093097
39,17764,17764,1,817.9345640446375
1,3725,4657,1.25,428.23299594839716
45,2384,2980,1.25,320.42549330148034
26,11369,14211,1.25,567.4777742319
45,2980,3725,1.25,346.86118560021947
1,4657,5821,1.25,452.7901193641619
39,2384,34694,14.551915228366852,777.444490154078
39,5821,34694,5.9604644775390625,815.2627141371468
26,14211,17764,1.25,580.9407246187429
39,3725,132349,35.52713678800501,833.9943708089725
45,3725,4657,1.25,371.0084688536926
1,5821,7276,1.25,474.2800656242107
39,22204,22204,1,831.9449263375401
45,4657,5821,1.25,392.5658187791161
26,17764,22204,1.25,592.1341037939501
1,7276,9095,1.25,492.77145458484375
45,5821,7276,1.25,411.4375706674174
39,2980,43368,14.551915228366852,798.1099915849599
26,22204,27756,1.25,601.3701825807361
39,7276,43368,5.9604644775390625,829.6908112611054
1,9095,11369,1.25,508.46302279014503
45,7276,9095,1.25,427.68781621440036
39,4657,165436,35.52713678800501,844.931942058352
39,27756,27756,1,843.4194571649522
45,9095,11369,1.25,441.48968360810454
1,11369,14211,1.25,521.6281002962705
26,27756,34694,1.25,608.9447644915884
26,400,258494,646.2348535570528,404.2552301502671
45,11369,14211,1.25,453.0798220073631
1,14211,17764,1.25,532.5717141265238
39,3725,54210,14.551915228366852,815.3834736144915
39,9095,54210,5.9604644775390625,841.5387592685647
26,34694,43368,1.25,615.1262569193342
45,14211,17764,1.25,462.72256100626765
39,5821,206795,35.52713678800501,853.898101847196
26,500,323117,646.2348535570528,417.1458445444806
1,17764,22204,1.25,541.6007227829541
39,34694,34694,1,852.7738024529014
45,17764,22204,1.25,470.6844964823999
26,43368,54210,1.25,620.1509726135856
1,22204,27756,1.25,549.0050663115502
26,625,403897,646.2348535570528,432.41863247767503
45,22204,27756,1.25,477.21824066638703
39,4657,67763,14.551915228366852,829.7014622115536
45,400,105879,264.6977960169689,309.40830302942464
39,11369,67763,5.9604644775390625,851.2182432001807
26,54210,67763,1.25,624.2224479787167
45,27756,34694,1.25,482.5533120582576
1,27756,34694,1.25,555.0474768924139
39,7276,258494,35.52713678800501,861.2136407593545
45,500,132349,264.6977960169689,328.3462124266786
39,43368,43368,1,860.3713702306727
45,34694,43368,1.25,486.8921128662184
26,67763,84703,1.25,627.5131380478134
45,625,165436,264.6977960169689,347.3155158730833
1,34694,43368,1.25,559.9591020862711
45,43368,54210,1.25,490.4092543104876
39,5821,84703,14.551915228366852,841.4888220835591
45,781,206795,264.6977960169689,365.97177042862256
1,43368,54210,1.25,563.9389517502831
39,14211,84703,5.9604644775390625,859.0935135976978
26,84703,105879,1.25,630.1673537956979
45,54210,67763,1.25,493.2529020000089
45,977,258494,264.6977960169689,383.932482656552
39,9095,323117,35.52713678800501,867.1596246396879
1,54210,67763,1.25,567.1556114141065
45,1221,323117,264.6977960169689,400.8283535375255
39,54210,54210,1,866.5236285700904
45,67763,84703,1.25,495.5472016387291
26,105879,132349,1.25,632.3047034949282
45,1526,403897,264.6977960169689,416.35803556452976
39,7276,105879,14.551915228366852,851.1390257342953
45,84703,105879,1.25,497.39516120843484
1,67763,84703,1.25,569.7501402890794
26,132349,165436,1.25,634.0235865241884
39,17764,105879,5.9604644775390625,865.4795592216416
45,105879,132349,1.25,498.88160137017593
1,84703,105879,1.25,571.8394469078864
39,11369,403897,35.52713678800501,871.9774865600344
26,165436,206795,1.25,635.4044848637784
39,67763,67763,1,871.4935425567711
45,132349,165436,1.25,500.0759507449042
1,105879,132349,1.25,573.5197088977303
39,9095,132349,14.551915228366852,859.004019956388
45,165436,206795,1.25,501.034772370004
26,206795,258494,1.25,636.512925710295
39,22204,132349,5.9604644775390625,870.6441357862778
1,132349,165436,1.25,574.8695916951934
45,206795,258494,1.25,501.8039768019103
26,258494,323117,1.25,637.4020684555004
45,258494,323117,1.25,502.42071870968715
39,84703,84703,1,875.5005821680564
1,165436,206795,1.25,575.9531444914286
42,400,34694,86.73617379884035,635.7433329683332
45,323117,403897,1.25,502.91499654722355
39,11369,165436,14.551915228366852,865.3907252408691
